            lon        lat         inc      D1AU     delta  launch radius  launch speed    t factor  expansion rate  B decay rate       B1AU     gamma         vsw
78   259.334686   4.440486  339.768402  0.320328  1.567929       6.035914    615.142273 -206.101151            1.14          1.64   7.432600  0.781792  434.961456
79   261.025055   5.370413  340.711670  0.303708  1.302137       6.446034    625.043030 -219.148407            1.14          1.64   8.224792  2.319195  417.967438
80   267.202271   8.435433  336.531097  0.273150  1.023566       6.737435    523.258606 -290.089233            1.14          1.64  10.031254  2.471156  365.963989
81   268.940430   0.704520  343.838837  0.339406  1.002677       8.007970    412.463074 -205.109436            1.14          1.64   9.827271  1.071208  555.487671
82   264.106781   2.662827  335.357391  0.306699  2.213866       7.911129    454.023865 -276.509857            1.14          1.64   8.233784  1.737286  426.225769
83   270.410004   2.055874  341.436768  0.297569  1.167159       6.514890    537.449402 -252.191711            1.14          1.64   9.017043  2.356734  321.345947
84   272.029144  -2.350789  343.451050  0.336035  1.224029       8.853101    328.373352 -220.398102            1.14          1.64   9.827080  0.484385  693.322571
85   262.891510   6.614334  338.253510  0.307788  1.315057       7.098343    523.568970 -232.803864            1.14          1.64   8.115952  0.715889  452.883667
86   267.335144   4.013359  337.458588  0.347342  1.258592       7.459924    434.585327 -180.325577            1.14          1.64   8.095334  1.293584  613.803406
87   259.468170   2.875790  340.288727  0.257541  2.012033      10.467770    403.674500 -278.074585            1.14          1.64   7.613553  1.112495  415.855988
88   265.923096  -2.841370  350.059326  0.342723  1.087895       6.051522    552.860535 -215.435120            1.14          1.64   9.395974  0.978409  408.814606
89   260.415192   4.808355  342.360962  0.260405  1.533535       7.952277    538.081116 -297.472870            1.14          1.64   8.015271  1.412551  348.550598
90   260.556732   9.633666  337.123383  0.294848  1.434332       6.273970    578.912781 -276.393433            1.14          1.64   8.290356  1.939169  575.887756
91   276.302551  -4.964503  344.278992  0.323715  1.602735       6.832335    445.755127 -277.241150            1.14          1.64  11.106309  1.230294  265.074036
92   267.721619   5.101509  335.103058  0.284117  1.568189       7.192274    464.099518 -298.919281            1.14          1.64   9.432046  0.806733  416.827026
93   263.207336   2.533766  344.167999  0.276754  1.246437       8.108532    440.024750 -213.458298            1.14          1.64   7.738376  2.398934  582.715210
94   256.217133  11.975320  334.598206  0.332366  1.688541       6.599143    639.257324 -233.834549            1.14          1.64   7.219474  1.575832  665.349670
95   275.250549  -2.424296  336.416718  0.303446  1.645258       8.944401    344.970642 -247.984589            1.14          1.64   9.569242  2.572022  314.927338
96   259.908173  11.478265  337.344635  0.284157  1.228530       6.220726    597.061340 -265.230927            1.14          1.64   8.555141  1.105231  600.218384
97   257.504211  13.578621  335.212189  0.331346  1.580532       6.376958    624.063843 -241.527771            1.14          1.64   7.142963  2.800901  676.697510
98   266.191742   0.449907  344.378143  0.279154  1.360599       6.425801    515.369690 -254.956421            1.14          1.64   8.244815  1.693660  415.675873
99   264.895020   5.144921  335.228577  0.348142  1.402644       7.123712    490.502045 -234.242416            1.14          1.64   8.954811  1.385620  595.185486
100  262.091248  -9.656710  350.138397  0.345195  1.915807       7.092474    517.869873 -257.160828            1.14          1.64   8.708719  1.945309  567.013733
101  276.244232   2.523573  333.495758  0.322524  1.237704       7.881434    365.970978 -258.661896            1.14          1.64  10.606958  0.885694  542.157288
102  264.048187   9.389999  338.057800  0.240880  1.059605       9.538254    333.521820 -274.286621            1.14          1.64   8.130223  2.939087  569.287659
103  268.087830   5.105902  339.401947  0.300644  1.088355       8.642829    337.471710 -245.562119            1.14          1.64   8.712914  1.724905  595.495911
104  268.417786   7.596099  334.453888  0.317662  1.223675       7.604188    448.063721 -275.255615            1.14          1.64   9.866848  0.939654  536.962097
105  273.758606  -3.648612  344.134583  0.331141  1.454020       6.893857    420.134827 -235.714874            1.14          1.64  10.327727  2.091711  513.767944
106  272.684479  -0.180723  344.032257  0.319468  1.041518       6.888227    447.426208 -219.551926            1.14          1.64   8.977868  2.532786  451.710114
107  257.911682   0.944285  346.740875  0.282890  1.450622       8.687223    439.056213 -252.043350            1.14          1.64   7.977737  2.667495  627.192017
108  264.978760   1.725003  344.165070  0.293057  1.127290       6.952143    492.592865 -202.121307            1.14          1.64   7.720141  2.911432  497.931732
109  270.050842   1.571466  338.623291  0.327957  1.199677      10.463893    201.555252 -198.525970            1.14          1.64   8.938040  0.925926  677.325989
